1 0  -23.170387 -22.974532 -22.974532 -22.393839 -22.393764 -21.448449 -21.448449 -20.172302 -20.171789 -18.617917 -18.617917 -17.964014 -17.792007 -17.792007 -17.282598 -17.282535 -16.911072 -16.911015 -16.820246 -16.657251 -16.657251 -16.45355 -16.45355 -16.206538 -16.206454 -15.808098 -15.808098 -15.331003 -15.330386 -13.944201 -13.944201 -13.901819 -13.901819 -13.672022 -13.671716 -12.438033 -12.438033 -12.330499 -12.330471 -12.316365 -12.316328 -11.192147 -10.983508 -10.983324 -10.957659 -10.957659 -10.656827 -10.656827 -10.550203 -10.550203 -10.299079 -10.299065 -9.9204006 -9.769499 -9.769499 -8.7312018 -8.7311684 -8.6104056 -8.6104056 -7.8196146 -7.8195832 -7.4627951 -7.4625524 -7.1718068 -7.1718068 -6.8807493 -6.8807493 -6.5269112 -6.4938542 -5.8195706 -5.7943712 -5.7943712 -5.5847519 -5.5847519 -4.8844418 -4.8844302 -4.1091315 -4.1090738 -3.7376972 -3.7376972 -2.8162383 -2.8162383 -2.5439441 -2.3583627 -2.3583627 -2.2586217 -2.2582725 -2.1814358 -2.1809753 -0.29086676 -0.29086676 1.7938114 1.7939727 3.752319 3.8024689 3.8024689 4.4118963
2 0.0023474178  -23.169799 -22.973945 -22.973945 -22.393253 -22.393179 -21.447869 -21.447869 -20.171732 -20.171219 -18.617378 -18.617378 -17.974168 -17.802056 -17.802056 -17.292478 -17.292415 -16.910952 -16.910895 -16.809228 -16.646378 -16.646378 -16.464987 -16.464987 -16.196025 -16.195942 -15.797649 -15.797649 -15.335876 -15.33526 -13.949494 -13.949494 -13.89961 -13.89961 -13.666262 -13.665955 -12.432612 -12.432612 -12.335227 -12.335198 -12.315644 -12.315607 -11.191493 -10.979215 -10.979031 -10.957023 -10.957023 -10.656224 -10.656224 -10.55477 -10.55477 -10.298603 -10.298588 -9.919812 -9.7663459 -9.7663459 -8.7338221 -8.7337886 -8.6095702 -8.6095702 -7.8190898 -7.8190584 -7.4622054 -7.4619627 -7.1743474 -7.1743474 -6.8815196 -6.8815196 -6.5293668 -6.4951993 -5.8237986 -5.7940487 -5.7940487 -5.5889973 -5.5889973 -4.8891144 -4.8891025 -4.1105901 -4.1105319 -3.7466665 -3.7466665 -2.8073125 -2.8073125 -2.5393013 -2.353662 -2.353662 -2.2536078 -2.2532588 -2.1804242 -2.1799643 -0.29187748 -0.29187748 1.7924172 1.7925784 3.7515573 3.8009371 3.8009371 4.410364
3 0.0046948357  -23.168034 -22.972181 -22.972181 -22.391497 -22.391422 -21.446129 -21.446129 -20.170022 -20.16951 -18.615759 -18.615759 -18.00353 -17.83112 -17.83112 -17.321029 -17.320965 -16.910602 -16.910544 -16.777272 -16.614843 -16.614843 -16.497259 -16.497259 -16.165575 -16.165493 -15.768348 -15.768348 -15.350272 -15.34966 -13.965142 -13.965142 -13.892975 -13.892975 -13.649198 -13.648888 -12.416585 -12.416585 -12.349219 -12.34919 -12.313481 -12.313444 -11.189534 -10.966528 -10.966346 -10.955115 -10.955115 -10.654415 -10.654415 -10.568231 -10.568231 -10.297177 -10.297162 -9.9180464 -9.7571197 -9.7571197 -8.7416266 -8.741593 -8.6070737 -8.6070737 -7.8175688 -7.8175378 -7.4604366 -7.4601939 -7.1819188 -7.1819188 -6.883874 -6.883874 -6.5367269 -6.4992302 -5.8364053 -5.7930818 -5.7930818 -5.6016548 -5.6016548 -4.9030209 -4.9030081 -4.1149576 -4.1148979 -3.7725974 -3.7725974 -2.7815111 -2.7815111 -2.5254514 -2.33964 -2.33964 -2.2386773 -2.238329 -2.1773949 -2.1769369 -0.29490522 -0.29490522 1.7882385 1.7883997 3.7492682 3.7963455 3.7963455 4.4058229
4 0.0070422535  -23.165092 -22.969242 -22.969242 -22.38857 -22.388495 -21.443229 -21.443229 -20.167172 -20.16666 -18.613061 -18.613061 -18.049304 -17.876442 -17.876442 -17.365498 -17.365433 -16.910051 -16.909992 -16.727178 -16.565404 -16.565404 -16.545738 -16.545738 -16.117946 -16.117865 -15.724851 -15.724851 -15.373559 -15.372952 -13.990494 -13.990494 -13.881889 -13.881889 -13.621436 -13.621122 -12.390605 -12.390605 -12.371943 -12.371912 -12.309873 -12.309836 -11.18627 -10.951936 -10.951936 -10.945991 -10.945809 -10.651401 -10.651401 -10.58993 -10.58993 -10.294812 -10.294797 -9.9151043 -9.7424555 -9.7424555 -8.754452 -8.7544179 -8.6029448 -8.6029448 -7.815207 -7.8151764 -7.4574897 -7.4572469 -7.1943786 -7.1943786 -6.8879354 -6.8879354 -6.548972 -6.5059333 -5.8571657 -5.791473 -5.791473 -5.6224937 -5.6224937 -4.9258398 -4.9258256 -4.1222098 -4.1221474 -3.8130214 -3.8130214 -2.7412994 -2.7412994 -2.5026233 -2.3165298 -2.3165298 -2.2141524 -2.2138051 -2.1723644 -2.1719095 -0.29993671 -0.29993671 1.7812876 1.7814486 3.7454395 3.7887061 3.7887061 4.3984291
5 0.0093896714  -23.160974 -22.965128 -22.965128 -22.384472 -22.384398 -21.439168 -21.439168 -20.163183 -20.162671 -18.609285 -18.609285 -18.108043 -17.934623 -17.934623 -17.422511 -17.422446 -16.909349 -16.909289 -16.662392 -16.605683 -16.605683 -16.501462 -16.501462 -16.056517 -16.056436 -15.671939 -15.671939 -15.404795 -15.404195 -14.024599 -14.024599 -13.866317 -13.866317 -13.583873 -13.583554 -12.402609 -12.402576 -12.355631 -12.355631 -12.304818 -12.304781 -11.181702 -10.94749 -10.94749 -10.918401 -10.918221 -10.647181 -10.647181 -10.618951 -10.618951 -10.291523 -10.291509 -9.9109863 -9.7232382 -9.7232382 -8.7720426 -8.7720081 -8.5972312 -8.5972312 -7.8122453 -7.8122154 -7.4533663 -7.4531235 -7.2115144 -7.2115144 -6.8938835 -6.8938835 -6.5660694 -6.5152865 -5.8857235 -5.7892262 -5.7892262 -5.6511504 -5.6511504 -4.9570717 -4.9570558 -4.1323067 -4.1322408 -3.8649346 -3.8649346 -2.6896759 -2.6896759 -2.4711797 -2.2847002 -2.2847002 -2.1805333 -2.1801873 -2.1653596 -2.1649088 -0.30694996 -0.30694996 1.7715842 1.7717449 3.7400516 3.7780382 3.7780382 4.3884093
6 0.011737089  -23.155679 -22.959838 -22.959838 -22.379204 -22.379129 -21.433948 -21.433948 -20.158055 -20.157543 -18.604433 -18.604433 -18.176513 -18.002466 -18.002466 -17.488923 -17.488857 -16.908569 -16.908506 -16.673445 -16.673445 -16.586152 -16.426216 -16.426216 -15.984441 -15.984362 -15.613313 -15.613313 -15.442856 -15.442264 -14.066352 -14.066352 -13.84621 -13.84621 -13.537571 -13.537246 -12.440293 -12.440258 -12.312783 -12.312783 -12.298311 -12.298274 -11.175833 -10.941779 -10.941779 -10.884702 -10.884523 -10.654283 -10.654283 -10.641757 -10.641757 -10.287337 -10.287323 -9.9056935 -9.700433 -9.700433 -8.7940723 -8.7940373 -8.5899987 -8.5899987 -7.8089887 -7.8089595 -7.4480686 -7.4478257 -7.233071 -7.233071 -6.9019276 -6.9019276 -6.5879742 -6.5272588 -5.9216174 -5.786347 -5.786347 -5.6871537 -5.6871537 -4.9960854 -4.9960674 -4.1451942 -4.1451238 -3.925552 -3.925552 -2.6294183 -2.6294183 -2.4315911 -2.2446285 -2.2446285 -2.1564164 -2.1559709 -2.1384525 -2.138108 -0.31591439 -0.31591439 1.7591559 1.7593164 3.7330779 3.7643689 3.7643689 4.3760227
7 0.014084507  -23.149208 -22.953373 -22.953373 -22.372766 -22.372691 -21.427569 -21.427569 -20.151788 -20.151276 -18.598507 -18.598507 -18.252067 -18.077355 -18.077355 -17.562177 -17.56211 -16.907807 -16.907741 -16.746518 -16.746518 -16.501107 -16.342288 -16.342288 -15.904288 -15.904209 -15.551537 -15.551537 -15.486545 -15.485964 -14.114616 -14.114616 -13.821519 -13.821519 -13.483637 -13.483306 -12.484037 -12.483999 -12.290348 -12.29031 -12.26321 -12.26321 -11.168667 -10.934808 -10.934808 -10.845875 -10.845697 -10.694948 -10.694948 -10.635129 -10.635129 -10.282286 -10.282273 -9.8992273 -9.6749588 -9.6749588 -8.8201668 -8.8201312 -8.5813307 -8.5813307 -7.8057817 -7.8057534 -7.4415995 -7.4413566 -7.2587766 -7.2587766 -6.9122807 -6.9122807 -6.6146292 -6.5418113 -5.96431 -5.7828425 -5.7828425 -5.7299564 -5.7299564 -5.0421681 -5.0421479 -4.1608052 -4.1607295 -3.9926237 -3.9926237 -2.562767 -2.562767 -2.3844062 -2.1968705 -2.1968705 -2.1455787 -2.1451394 -2.0886243 -2.0882812 -0.32679103 -0.32679103 1.7440381 1.7441981 3.7244863 3.7477322 3.7477322 4.3615246
8 0.016431925  -23.14156 -22.945732 -22.945732 -22.365157 -22.365083 -21.42003 -21.42003 -20.144384 -20.143872 -18.591508 -18.591508 -18.33269 -18.157295 -18.157295 -17.640336 -17.640268 -16.907193 -16.907122 -16.823241 -16.823241 -16.409276 -16.251675 -16.251675 -15.818005 -15.817927 -15.534683 -15.534111 -15.48833 -15.48833 -14.16832 -14.16832 -13.792194 -13.792194 -13.423139 -13.422802 -12.532922 -12.532883 -12.28092 -12.280882 -12.208001 -12.208001 -11.160206 -10.926582 -10.926582 -10.802862 -10.802685 -10.740077 -10.740077 -10.627298 -10.627298 -10.276413 -10.2764 -9.8915894 -9.6476191 -9.6476191 -8.8499242 -8.849888 -8.5713264 -8.5713264 -7.8029866 -7.8029592 -7.4339626 -7.4337196 -7.2883618 -7.2883618 -6.9251407 -6.9251407 -6.6459654 -6.558897 -6.0132178 -5.7789658 -5.7789658 -5.7787214 -5.7787214 -5.0945725 -5.0945501 -4.1790614 -4.1789797 -4.0644523 -4.0644523 -2.4914079 -2.4914079 -2.3302223 -2.1420289 -2.1420289 -2.1328969 -2.1324647 -2.0317976 -2.0314559 -0.33953282 -0.33953282 1.7262729 1.7264325 3.7142401 3.728169 3.728169 4.3451391
9 0.018779343  -23.132736 -22.936917 -22.936917 -22.356379 -22.356304 -21.411334 -21.411334 -20.135842 -20.13533 -18.58344 -18.58344 -18.416899 -18.240815 -18.240815 -17.721979 -17.72191 -16.906886 -16.906811 -16.902498 -16.902498 -16.312148 -16.155855 -16.155855 -15.727032 -15.726954 -15.586146 -15.585585 -15.424854 -15.424854 -14.226501 -14.226501 -13.758198 -13.758198 -13.357052 -13.356709 -12.58612 -12.586078 -12.27002 -12.269982 -12.148141 -12.148141 -11.150457 -10.917108 -10.917108 -10.788925 -10.788925 -10.756526 -10.75635 -10.618266 -10.618266 -10.269773 -10.26976 -9.8827816 -9.6190794 -9.6190794 -8.8829312 -8.8828945 -8.5600991 -8.5600991 -7.8009647 -7.8009383 -7.4251621 -7.4249189 -7.3215712 -7.3215712 -6.9406783 -6.9406783 -6.681903 -6.5784617 -6.0677386 -5.8335711 -5.8335711 -5.7739944 -5.7739944 -5.1525554 -5.1525307 -4.1998753 -4.199787 -4.1397934 -4.1397934 -2.4165722 -2.4165722 -2.2696579 -2.118426 -2.1180017 -2.0807262 -2.0807262 -1.9687179 -1.9683775 -0.35408492 -0.35408492 1.7059096 1.7060687 3.7022994 3.7057265 3.7057265 4.3270425
10 0.021126761  -23.122735 -22.926927 -22.926927 -22.346431 -22.346356 -21.401479 -21.401479 -20.126164 -20.125652 -18.574305 -18.574305 -18.50361 -18.326841 -18.326841 -17.80607 -17.806 -16.983527 -16.983527 -16.90709 -16.907009 -16.21081 -16.055908 -16.055908 -15.639889 -15.63934 -15.632421 -15.632344 -15.361906 -15.361906 -14.288328 -14.288328 -13.719509 -13.719509 -13.286237 -13.285889 -12.6429 -12.642857 -12.257638 -12.2576 -12.084486 -12.084486 -11.139425 -10.906395 -10.906395 -10.840875 -10.840875 -10.707632 -10.707457 -10.608034 -10.608034 -10.262433 -10.262421 -9.8728063 -9.589873 -9.589873 -8.9187734 -8.9187362 -8.5477744 -8.5477744 -7.8000634 -7.8000381 -7.4152028 -7.4149595 -7.3581697 -7.3581697 -6.9590317 -6.9590317 -6.7223518 -6.6004441 -6.1272732 -5.8931669 -5.8931669 -5.7686733 -5.7686733 -5.2154049 -5.2153781 -4.2231518 -4.2230564 -4.2177398 -4.2177398 -2.3391516 -2.3391516 -2.2033303 -2.1022243 -2.1018086 -2.0135815 -2.0135815 -1.9000994 -1.8997599 -0.37038504 -0.37038504 1.6830038 1.6831623 3.6804575 3.6804575 3.6886227 4.307356
